case_id,gps_nac_adopter,survey_source,home,state,age_binned,educ_binned,f1,f2,trig1,trig3,trig2,trig4,n1,n2,n3,f3,f4,cijm1,cijm2,cijm3,cns1,cns2,cns4,vb1,vb2,vb3,va1,va2,va3,vt1,vt2,vt3,ve1,ve2,ve4,vo1,vo2,vo3,pn1,pn2,pn3,e2,bte7,bb1,bb2,bb3,bte8,be13,be10,co3,be11,m3,bo15,bte9,pbc7,pbc9,m2,pbc3,m4,pbc5,m1,tru5,tr1,tr2,tr3,dep1,dep2,dep3,m6,suit1,suit2,o3,sn1,sn4,sn5,dv1,dv2,dv3,dv4,dv7,int_q1,int_q2,int_q3,int_q4,int_q5,int_q6,int_q7,tr_gov,tr_comp,tr_trade,tr_util,tr_online,tr_frfam,tr_neighb,tr_envorg,tr_univ,inv_neighfr,inv_party,inv_onlinecust,inv_onlinevideo,inv_reviews,inv_facebk,inv_govtweb,winter_nopv_binned,summer_nopv_binned,bills,power,stance,social,econ,cityyrs_binned,hmyrs_1_text,sqft_binned,gender,people_tot_3plus,have_kids,employ_1,employ_2,employ_5,retired,financial,income_binned
11,true,true,1,3,3,3,true,true,true,true,true,false,true,false,true,1,true,4,4,4,4,3,4,4,4,4,5,5,5,5,5,4,4,4,4,5,5,5,3,3,4,5,1,5,5,4,4,4,4,4,3,4,4,4,3,4,4,5,3,4,3,3,4,3,4,3,4,4,1,1,1,3,4,1,4,5,5,3,5,3,5,5,3,5,5,4,5,4,4,4,4,4,4,4,4,4,4,3,5,5,5,3,4,6,10,4,2,2,1,2,6,20,4,0,false,0,true,false,false,false,1,95
12,true,true,1,3,1,1,true,true,true,true,true,true,true,false,true,1,true,5,5,5,3,3,3,3,3,3,4,5,4,5,5,4,3,3,1,3,3,3,3,2,4,3,3,4,98,4,3,4,4,4,3,3,2,2,2,3,98,5,3,98,3,4,2,5,4,3,4,4,1,2,1,1,4,4,3,5,4,4,4,98,2,2,2,2,2,1,3,3,3,3,3,3,4,4,3,3,5,5,5,5,1,1,4,5,9,4,2,3,3,4,4,30,2,1,true,1,false,true,false,false,3,1
13,true,true,2,1,2,2,true,false,false,false,false,false,true,false,false,0,false,4,3,3,3,3,2,5,3,4,2,1,2,3,3,2,2,2,2,4,5,5,3,3,4,4,4,3,3,4,4,3,3,3,3,2,2,2,3,4,3,4,4,3,2,4,4,4,5,3,5,4,2,4,2,2,4,2,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,4,,3,4,4,98,98,4,2,3,1,,99,true,false,false,false,1,4
14,true,true,1,2,4,2,true,true,true,true,true,false,true,true,true,0,false,4,5,3,4,4,4,4,4,4,5,3,3,4,5,4,3,3,4,4,3,3,4,4,4,4,4,4,3,4,4,3,4,3,4,3,2,2,4,4,3,4,3,3,3,4,4,4,4,3,3,4,2,2,2,2,3,2,4,4,4,3,4,3,4,4,4,4,5,4,5,2,2,3,2,4,4,4,3,4,5,4,5,5,5,4,5,6,6,4,4,4,3,4,7,5,3,0,true,0,false,false,false,true,1,4
15,true,true,1,4,3,2,true,false,false,true,true,true,true,false,false,1,false,5,5,3,4,4,4,4,4,4,5,5,4,5,5,4,2,3,2,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,98,98,4,3,4,3,5,5,4,5,3,3,4,3,2,2,3,98,98,98,4,4,3,3,2,3,3,3,3,3,3,3,1,3,3,2,4,4,4,2,2,5,5,5,5,5,4,1,3,4,2,1,4,3,3,6,15,2,1,false,0,false,false,false,true,1,3
16,true,true,1,1,2,2,false,false,true,false,false,false,false,false,false,0,false,3,3,3,2,2,2,3,3,3,5,4,4,5,5,5,3,4,2,3,3,2,3,3,3,2,3,2,2,3,98,4,2,1,2,2,3,2,5,3,3,5,3,4,3,5,5,5,5,3,5,98,3,3,3,2,98,3,98,5,5,3,3,1,2,1,1,1,2,2,2,1,3,1,2,2,4,4,2,2,5,3,3,2,2,1,1,5,4,4,1,3,3,3,4,15,1,1,,99,true,false,false,false,1,95
17,true,true,1,3,3,2,false,false,false,true,true,false,false,false,false,1,false,3,2,4,4,4,4,3,3,3,4,4,4,4,4,3,2,3,3,3,4,4,3,1,3,3,98,98,98,98,1,3,3,1,98,2,2,3,98,5,4,3,98,5,98,1,98,1,1,98,3,98,1,1,1,1,98,4,98,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,4,2,1,1,1,1,1,1,1,1,1,2,6,3,3,97,98,98,2,1,2,1,false,0,false,false,false,true,3,95
18,true,true,1,3,2,2,true,false,false,true,false,false,false,true,false,1,false,3,3,3,3,3,3,4,5,5,4,4,5,5,5,3,1,2,3,4,4,4,3,3,4,4,3,4,4,4,3,3,3,3,3,3,3,3,4,3,3,4,3,4,3,4,4,4,4,3,3,4,2,2,2,2,3,3,3,4,4,4,4,2,3,3,1,5,5,5,5,4,2,3,1,2,3,3,2,3,5,5,3,3,3,3,4,5,5,3,2,3,3,3,3,10,2,1,false,0,true,false,false,false,2,95
19,true,true,1,1,1,3,true,true,true,true,false,false,false,false,true,0,false,4,4,4,3,4,4,3,4,3,5,4,5,4,4,4,4,4,4,4,5,4,3,3,3,4,4,4,3,4,4,4,4,2,3,3,2,2,2,2,2,3,3,2,3,4,4,4,3,3,3,2,2,2,2,2,4,2,4,4,4,4,4,3,5,4,4,4,5,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,4,4,3,4,4,2,2,2,2,5,6,4,1,false,0,true,false,false,false,1,3
20,true,true,1,4,1,3,false,false,false,false,false,false,false,false,false,0,false,4,4,4,3,3,3,3,4,3,4,3,4,5,5,4,3,3,2,3,4,4,4,4,4,4,4,98,98,4,4,4,4,4,98,98,3,2,98,98,98,98,4,5,4,4,4,5,4,98,3,4,2,98,2,98,3,3,3,4,4,98,3,1,4,2,3,2,4,3,4,3,3,3,3,1,5,3,3,3,4,2,2,1,2,1,3,3,3,3,1,3,3,3,6,10,1,1,true,1,false,true,false,false,3,1
21,true,true,1,4,1,3,true,true,false,true,false,false,true,false,true,1,false,4,4,4,4,4,4,4,3,2,4,4,5,4,5,4,3,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,2,4,3,1,4,4,4,5,4,4,4,4,4,4,3,4,4,2,2,2,2,4,1,4,4,4,4,3,2,4,4,4,4,4,4,4,4,3,3,3,4,4,4,3,4,4,3,4,4,4,4,3,7,5,3,2,3,2,5,7,25,3,0,false,0,true,false,false,false,2,5
22,true,true,1,3,1,2,true,true,true,true,true,false,true,true,true,1,false,5,5,4,4,4,4,4,4,4,5,5,4,5,5,4,3,3,3,4,4,4,5,3,4,3,5,3,3,4,5,4,5,5,5,2,2,2,2,2,4,4,4,2,2,4,2,4,4,4,2,3,1,1,1,1,4,2,4,5,5,4,4,3,5,5,4,3,4,4,5,2,2,3,2,4,4,3,3,4,5,4,5,5,5,4,4,7,7,2,1,3,96,96,3,30,4,0,true,1,true,false,false,false,1,5
23,true,true,1,1,1,2,true,true,false,false,false,false,false,true,false,0,false,5,4,4,4,2,3,4,4,4,4,3,4,5,5,3,3,3,3,3,4,3,2,3,4,3,4,3,3,4,5,4,4,4,4,3,4,3,2,3,3,4,3,4,3,4,2,5,4,3,4,4,2,2,2,2,4,2,4,4,5,4,4,3,4,4,2,2,4,3,4,2,2,3,2,4,4,2,4,4,4,1,5,5,5,5,4,3,6,3,3,97,96,96,1,30,1,1,true,1,false,false,true,false,2,2
24,true,true,1,3,4,3,false,false,false,true,false,false,false,true,false,0,false,1,1,1,5,5,3,3,3,3,5,3,1,4,5,5,5,5,5,3,5,4,4,3,3,3,2,3,3,4,2,3,4,2,3,2,2,2,3,98,98,98,98,3,3,1,4,4,3,3,3,4,2,2,1,2,3,2,3,4,4,4,3,2,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,3,3,4,3,3,5,7,3,1,4,4,4,3,20,4,0,false,0,false,false,false,true,1,5
25,true,true,1,4,4,2,true,false,false,true,true,true,true,false,false,1,false,4,4,4,4,3,4,4,4,5,5,4,5,5,5,5,4,4,3,3,3,4,4,4,4,5,4,4,4,4,3,3,4,4,3,3,4,2,4,4,3,4,3,2,3,4,4,4,5,3,3,3,2,2,2,2,3,3,4,4,4,2,3,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,3,4,4,1,2,2,2,1,2,8,9,3,2,4,4,4,8,5,4,0,false,0,false,false,false,true,1,4
26,true,true,1,1,4,1,false,false,false,false,false,false,false,false,false,0,false,5,5,5,2,2,3,3,3,3,5,5,5,5,5,5,1,5,1,3,2,4,4,3,5,4,98,3,98,3,98,3,98,3,98,3,98,3,2,98,98,98,98,3,3,5,4,5,4,98,4,98,98,98,98,2,98,2,4,4,4,4,98,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4,3,3,5,5,5,5,5,5,5,5,7,2,3,4,4,4,5,20,2,1,false,0,false,false,false,true,2,95
27,true,true,1,4,4,4,true,true,true,true,false,false,true,true,true,1,false,5,4,4,4,4,4,4,4,3,4,3,4,4,5,3,3,3,3,4,3,4,4,4,4,4,2,3,4,4,4,4,4,4,4,3,2,2,4,3,3,4,3,3,3,4,4,4,3,4,3,4,2,2,1,3,3,2,3,4,3,3,3,3,2,2,2,1,2,2,2,3,2,2,2,2,3,3,2,3,4,4,3,2,2,2,3,5,6,4,2,3,3,3,5,5,4,1,false,0,true,false,false,false,2,95
28,true,true,1,3,4,4,true,false,false,true,true,false,false,false,false,0,false,2,2,3,4,2,2,4,3,2,5,5,5,3,5,2,4,3,5,1,3,2,3,4,4,5,2,98,98,3,98,2,3,2,2,4,1,1,4,2,2,98,2,1,98,2,1,2,2,98,5,98,2,1,2,4,98,3,4,3,2,2,1,1,1,1,1,1,1,1,1,4,2,3,4,2,3,3,3,3,1,1,1,1,1,1,1,5,6,3,2,1,1,2,3,10,4,0,false,0,false,true,false,false,1,5
29,true,true,1,4,2,1,true,true,false,false,false,false,false,false,false,0,false,4,4,4,2,3,4,4,4,4,3,3,4,4,4,3,2,2,2,4,3,5,4,3,5,3,4,4,98,4,4,98,4,4,98,4,5,2,5,4,98,98,2,98,98,5,5,2,4,98,4,4,1,1,1,2,98,98,98,5,5,98,4,1,3,3,5,5,5,5,5,4,3,3,4,4,5,4,3,3,5,3,5,5,5,5,5,2,4,3,5,4,5,5,3,3,2,1,false,0,true,false,false,false,1,4
30,true,true,1,3,3,2,false,true,false,true,true,true,false,true,false,1,false,3,3,3,3,3,3,4,4,4,4,4,5,3,2,4,3,3,2,4,3,4,5,5,4,5,4,4,98,4,4,4,5,4,5,98,3,98,2,98,98,5,5,5,4,4,3,4,3,98,4,98,1,1,1,1,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,2,3,3,4,4,3,3,4,2,2,3,3,2,2,4,5,3,3,3,3,3,5,5,1,1,false,0,false,false,false,true,4,1
31,true,true,1,3,1,3,true,true,true,true,true,false,true,false,true,0,true,4,4,5,3,3,4,4,4,4,4,5,4,5,5,4,1,4,3,5,4,4,4,3,5,3,3,4,3,5,3,4,4,3,4,3,4,1,5,4,98,4,98,3,4,5,4,5,4,98,3,3,1,1,1,1,5,1,5,5,5,4,3,4,4,4,2,4,5,4,5,2,2,2,2,3,4,4,3,3,5,4,5,5,5,4,4,3,5,4,5,4,96,4,2,3,2,1,true,1,true,false,false,false,1,5
32,true,true,1,4,3,2,true,true,true,true,true,false,false,false,true,0,false,3,3,4,3,3,4,4,4,4,5,4,5,3,5,2,2,4,2,2,3,3,3,4,4,4,4,4,4,4,4,3,4,98,4,2,2,1,4,4,98,4,98,3,2,4,3,4,3,3,2,2,3,4,3,3,98,98,98,4,5,3,3,2,2,2,2,1,3,4,4,4,2,3,3,4,5,5,2,5,5,2,4,3,5,1,1,4,3,3,1,2,2,4,4,2,2,1,false,0,true,false,false,false,2,4
33,true,true,1,2,3,4,false,false,false,true,true,false,false,false,false,0,false,3,3,4,1,1,2,3,2,2,4,5,5,5,5,4,2,2,2,4,3,3,1,2,5,4,98,4,3,4,98,2,2,3,98,98,4,5,2,98,98,98,98,5,3,5,5,5,5,98,4,4,4,4,5,1,1,1,2,5,5,3,4,2,3,3,4,2,4,3,5,4,3,3,4,3,4,4,3,5,4,3,4,3,2,1,4,5,7,2,3,2,1,2,4,10,2,0,false,0,false,true,false,false,2,95
34,true,true,1,3,1,3,true,false,false,false,false,true,false,false,false,0,false,4,4,4,2,2,2,3,3,2,4,4,3,5,5,4,4,4,2,3,3,2,2,1,2,1,3,98,2,3,3,1,98,1,2,3,4,3,98,98,98,5,4,5,4,5,4,4,4,98,4,4,1,2,1,2,2,3,4,4,4,2,3,1,2,1,1,1,2,1,1,2,2,1,2,3,4,4,2,3,3,1,3,1,3,3,1,3,6,3,2,5,5,4,4,20,2,1,true,1,false,false,true,false,2,4
35,true,true,1,3,3,4,true,true,false,true,true,true,true,true,true,1,false,5,5,3,3,2,4,4,5,4,5,5,5,5,5,4,2,2,2,3,3,4,4,4,4,4,2,3,3,4,3,3,3,4,3,4,4,3,4,3,3,2,3,2,3,4,2,3,4,4,4,4,1,1,1,1,4,1,5,4,5,3,5,98,5,5,5,5,5,5,5,4,3,2,2,2,5,4,3,3,5,5,5,2,2,2,5,2,2,3,2,90,2,4,4,5,1,0,false,0,false,false,false,true,1,3
36,true,true,1,1,2,1,true,true,true,false,false,false,false,true,false,0,false,4,5,5,4,4,3,5,5,5,5,5,5,5,5,4,1,3,1,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,98,5,1,5,1,1,1,4,1,5,2,1,1,1,1,1,5,1,5,4,5,4,4,98,5,4,2,5,5,5,5,4,3,5,1,5,5,5,3,5,4,1,5,4,5,5,4,4,5,3,4,2,2,3,5,30,1,1,true,0,false,false,true,false,3,1
37,true,true,1,2,4,2,true,true,false,true,false,false,false,false,false,0,false,3,3,4,2,2,3,4,4,3,5,5,4,5,4,4,3,4,3,3,3,3,3,3,3,4,3,3,3,4,3,4,3,3,3,2,2,1,3,3,3,3,3,3,2,4,3,4,3,3,3,3,3,3,3,2,3,2,3,3,3,2,2,2,2,1,1,1,1,2,2,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,11,11,3,2,3,3,3,8,10,4,1,false,0,false,true,false,false,1,95
38,true,true,1,4,2,2,false,true,false,false,false,false,false,false,false,0,false,3,3,3,4,4,4,4,4,3,4,4,4,4,4,4,2,3,3,4,3,4,3,4,3,5,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,4,3,3,3,4,2,3,3,3,3,3,3,3,4,3,3,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4,3,4,3,2,3,3,3,2,4,6,6,3,5,3,3,3,4,10,1,1,false,0,true,false,false,false,3,2
39,true,true,1,2,2,4,false,false,false,true,false,false,false,false,false,0,false,4,4,4,2,2,3,2,2,2,3,4,2,5,5,5,2,1,1,2,2,3,4,2,2,2,1,2,1,1,2,1,5,1,1,5,2,4,4,2,98,4,2,4,2,4,4,4,2,3,5,4,5,5,5,2,3,3,1,3,3,3,4,3,3,3,3,1,3,2,3,2,2,2,3,3,5,4,2,2,4,1,2,2,3,1,2,5,5,3,1,3,3,4,5,10,3,1,true,0,true,false,false,false,2,3
40,true,true,1,3,4,4,true,false,true,true,true,true,false,false,false,1,false,4,3,4,4,3,3,5,4,3,4,2,4,3,4,2,2,3,3,5,5,5,3,4,3,5,2,2,2,2,2,1,2,2,2,2,2,3,3,3,3,5,4,2,3,5,5,4,3,3,3,5,1,2,1,2,3,2,4,4,5,2,3,1,3,3,3,3,3,4,3,3,1,2,2,2,2,2,3,3,4,1,3,1,1,2,4,4,7,3,1,3,2,3,4,7,3,1,false,0,false,false,false,true,1,4
41,true,true,1,3,4,4,false,false,false,false,false,false,false,false,false,0,false,1,2,3,3,3,1,5,3,3,5,2,4,4,5,3,2,3,3,3,3,2,4,2,3,3,3,4,3,4,4,3,4,4,3,2,3,2,2,2,2,4,3,4,3,3,4,4,4,3,4,2,2,2,2,2,3,2,3,4,5,4,4,3,3,4,2,2,3,3,2,3,3,3,3,3,3,3,2,2,5,5,2,2,3,2,2,5,6,4,1,4,4,4,5,5,2,0,false,0,false,false,false,true,1,2
42,true,true,1,1,3,1,false,false,false,true,true,true,false,false,false,0,false,3,4,4,2,2,3,3,4,3,3,3,4,5,4,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,4,3,4,3,3,3,3,3,2,3,3,4,4,3,3,2,2,2,2,2,3,2,2,2,2,2,3,2,3,3,3,2,3,3,4,4,3,2,1,4,6,3,3,4,4,4,5,20,2,0,false,0,true,false,false,false,3,3
43,true,true,1,2,4,1,false,false,false,true,false,false,false,false,false,0,false,3,2,4,3,3,3,4,4,2,5,4,5,5,5,4,1,2,3,3,3,2,4,4,4,4,4,3,4,4,4,4,3,3,3,2,4,2,5,3,3,4,4,4,3,4,3,4,4,3,4,4,2,3,2,3,2,2,3,3,3,2,3,2,1,1,1,1,1,1,1,3,2,3,4,2,4,3,3,3,4,3,3,1,1,1,1,,,99,99,3,3,3,8,1,4,1,false,0,false,false,false,true,2,95
44,true,true,1,4,1,4,true,false,false,false,false,false,false,false,false,0,false,1,1,1,1,2,1,2,2,1,2,2,2,2,3,2,2,1,3,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,,3,2,3,3,3,3,5,1,0,false,0,true,false,false,false,1,5
45,true,true,1,3,2,4,true,true,true,true,false,false,true,true,true,1,false,4,4,4,3,3,3,3,3,3,3,4,3,4,4,4,2,3,4,3,3,3,4,4,4,4,3,3,3,4,4,3,98,2,98,98,4,3,2,3,98,4,4,98,3,3,4,4,4,98,3,98,2,2,2,3,4,4,4,4,4,2,3,2,3,2,3,3,4,3,4,2,3,3,4,3,5,5,3,4,4,2,3,2,3,1,2,4,8,3,1,97,96,96,5,15,4,0,true,1,true,false,false,false,1,5
46,true,true,1,4,1,3,false,false,false,true,false,false,false,false,false,0,false,3,2,4,3,3,4,2,3,1,4,4,3,5,5,3,1,1,2,4,5,4,3,2,2,3,4,3,98,98,4,3,3,3,98,3,2,3,2,98,98,4,3,3,3,3,3,4,3,98,4,3,2,2,2,1,98,98,98,4,4,3,3,2,1,2,2,3,4,3,4,3,3,3,2,3,5,4,3,3,3,2,3,3,5,4,1,4,6,3,1,97,98,98,2,10,1,0,true,0,false,true,false,false,1,1
47,true,true,1,2,3,2,false,false,false,true,false,false,false,false,false,0,false,3,3,3,3,3,3,3,3,2,4,3,2,5,5,3,2,3,3,3,4,3,4,5,4,4,4,4,4,4,5,3,5,4,4,98,4,98,3,3,5,5,4,5,3,3,4,5,5,3,3,5,3,3,4,1,3,2,4,3,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,5,4,3,3,5,3,5,4,5,1,2,5,5,4,99,4,4,4,4,10,3,1,false,0,true,false,false,false,2,2
48,true,true,1,4,3,2,true,true,false,true,true,true,false,true,false,1,false,2,3,3,3,3,3,4,4,4,3,3,3,4,4,3,3,2,3,2,2,3,4,4,4,4,4,4,3,4,4,3,2,4,4,4,2,2,5,3,3,4,3,4,3,4,4,3,3,4,3,3,1,1,1,1,3,1,3,4,4,2,3,3,3,2,3,3,5,4,4,3,3,3,3,3,3,3,3,3,2,2,3,3,4,2,3,5,5,4,3,3,3,4,8,0,4,1,true,0,false,true,false,false,3,1
49,true,true,2,1,3,1,false,false,false,false,false,true,false,false,false,0,false,4,3,3,3,3,4,4,4,4,4,4,3,4,5,3,2,2,3,3,3,3,4,4,3,4,98,4,98,4,98,98,98,98,98,2,2,2,4,98,98,98,98,98,2,4,4,4,4,98,98,98,3,3,3,1,3,2,3,4,4,4,5,98,5,5,5,5,5,5,5,3,4,4,3,4,4,4,4,3,4,4,4,3,3,3,4,4,4,2,3,4,4,5,5,1,1,1,false,0,false,false,false,true,1,1
50,true,true,2,4,1,3,true,true,false,false,false,false,false,false,false,0,false,4,3,4,4,4,3,4,4,5,5,5,4,4,3,4,1,3,1,5,5,5,4,4,4,5,3,5,5,4,4,4,3,3,3,2,3,3,2,4,3,4,3,3,3,3,5,5,5,3,3,2,1,1,1,1,4,1,4,5,5,5,5,3,3,4,4,3,3,1,5,4,3,3,2,3,5,4,3,4,5,3,5,3,5,3,5,3,4,3,1,2,2,2,3,5,2,0,false,0,true,false,false,false,1,4
51,true,true,1,1,3,3,true,false,false,false,false,false,false,true,false,0,false,4,5,4,4,4,3,5,4,3,5,4,5,5,5,3,3,2,3,3,5,3,3,3,3,4,4,3,3,3,3,3,3,3,3,2,3,3,3,98,3,3,3,98,4,4,4,5,4,3,4,4,3,98,2,3,3,3,3,4,4,4,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,2,3,4,8,3,2,3,3,3,7,1,3,1,false,0,false,true,false,false,1,5
52,true,true,1,2,3,4,true,true,false,false,false,false,false,false,false,0,false,3,3,3,4,3,3,4,4,3,4,4,4,4,5,4,3,3,3,3,4,5,3,4,4,4,4,4,3,4,4,3,4,3,3,2,2,3,4,5,4,4,4,3,4,4,5,4,5,3,5,4,3,3,3,3,2,3,3,5,5,4,4,3,4,5,3,3,5,4,5,4,3,3,3,3,4,3,3,4,4,3,3,3,3,3,4,5,5,2,2,3,3,4,4,10,4,1,false,0,false,false,true,false,1,95
