"Source:<All>"

"Created: Month","F2F_CC","Created at location","Service","Enquiry Type","Total contact","Postcode trunc"
"Apr","CC","Contact Centre","Adult Social Care","Permits",15,"WF10"
"Apr","CC","Contact Centre","Adult Social Care","Permits",2,"NULL"
"Apr","CC","Contact Centre","Adult Social Care","Permits",52,"WF3 "
"Apr","CC","Contact Centre","Adult Social Care","Permits",1,"LS2 "
"Apr","CC","Contact Centre","Adult Social Care","Permits",16,"LS20"
"Apr","CC","Contact Centre","Adult Social Care","Permits",39,"LS18"
"Apr","CC","Contact Centre","Adult Social Care","Permits",22,"LS21"
"Apr","CC","Contact Centre","Adult Social Care","Permits",15,"LS23"
"Apr","CC","Contact Centre","Adult Social Care","Permits",31,"LS22"
"Apr","CC","Contact Centre","Adult Social Care","Permits",53,"LS27"
"Apr","CC","Contact Centre","Adult Social Care","Permits",44,"LS25"
"Apr","CC","Contact Centre","Adult Social Care","Permits",60,"LS28"
"Apr","CC","Contact Centre","Adult Social Care","Permits",53,"LS26"
"Apr","CC","Contact Centre","Adult Social Care","Permits",6,"LS3 "
"Apr","CC","Contact Centre","Adult Social Care","Permits",18,"LS5 "
"Apr","CC","Contact Centre","Adult Social Care","Refer to Other Agency",1,"WF3 "
"Apr","CC","Contact Centre","Adult Social Care","Refer to Other Agency",1,"LS11"
"Apr","CC","Contact Centre","Adult Social Care","Refer to Other Agency",1,"Y08 "
"Apr","CC","Contact Centre","Adult Social Care","Refer to Other Agency",1,"LS7 "
"Apr","CC","Contact Centre","Adult Social Care","Refer to Other Agency",2,"LS12"
"Apr","CC","Contact Centre","Adult Social Care","Refer to Other Agency",2,"LS8 "
"Apr","CC","Contact Centre","Adult Social Care","Refer to Other Agency",1,"LS21"
"Apr","CC","Contact Centre","Adult Social Care","Refer to Other Agency",1,"LS13"
"Apr","CC","Contact Centre","Adult Social Care","Refer to Other Agency",1,"LS10"
"Apr","CC","Contact Centre","Adult Social Care","Refer to Other Agency",1,"LS16"
"Apr","CC","Contact Centre","Adult Social Care","Refer to Other Agency",2,"LS9 "
"Apr","CC","Contact Centre","Adult Social Care","Refer to Other Agency",5," NFA"
"Apr","CC","Contact Centre","Adult Social Care","Referral",133,"LS14"
"Apr","CC","Contact Centre","Adult Social Care","Referral",100,"LS12"
"Apr","CC","Contact Centre","Adult Social Care","Referral",97,"LS15"
"Apr","CC","Contact Centre","Adult Social Care","Referral",95,"LS13"
"Apr","CC","Contact Centre","Adult Social Care","Referral",83,"LS16"
"Apr","CC","Contact Centre","Adult Social Care","Referral",43,"LS19"
"Apr","CC","Contact Centre","Adult Social Care","Referral",28,"LS20"
"Apr","CC","Contact Centre","Adult Social Care","Referral",22,"LS23"
"Apr","CC","Contact Centre","Adult Social Care","Referral",31,"LS21"
"Apr","CC","Contact Centre","Adult Social Care","Referral",43,"LS18"
"Apr","CC","Contact Centre","Adult Social Care","Referral",4,"LS2 "
"Apr","CC","Contact Centre","Adult Social Care","Referral",1,"YO15"
"Apr","CC","Contact Centre","Adult Social Care","Referral",43,"WF3 "
"Apr","CC","Contact Centre","Adult Social Care","Referral",19,"WF10"
"Apr","CC","Contact Centre","Adult Social Care","Referral",2,"WF6 "
"Apr","CC","Contact Centre","Adult Social Care","Referral",1,"NG5 "
"Apr","CC","Contact Centre","Adult Social Care","Referral",106,"LS7 "
"Apr","CC","Contact Centre","Adult Social Care","Referral",155,"LS17"
"Apr","CC","Contact Centre","Adult Social Care","Referral",117,"LS9 "
"Apr","CC","Contact Centre","Adult Social Care","Referral",48,"LS22"
"Apr","CC","Contact Centre","Adult Social Care","Referral",80,"LS27"
"Apr","CC","Contact Centre","Adult Social Care","Referral",87,"LS25"
"Apr","CC","Contact Centre","Adult Social Care","Referral",90,"LS28"
"Apr","CC","Contact Centre","Adult Social Care","Referral",71,"LS26"
"Apr","CC","Contact Centre","Adult Social Care","Referral",6,"LS3 "
"Apr","CC","Contact Centre","Adult Social Care","Referral",14,"LS5 "
"Apr","CC","Contact Centre","Adult Social Care","Referral",2,"LS29"
"Apr","CC","Contact Centre","Adult Social Care","Referral",22,"LS4 "
"Apr","CC","Contact Centre","Adult Social Care","Referral",145,"LS8 "
"Apr","CC","Contact Centre","Adult Social Care","Referral",63,"LS6 "
"Apr","CC","Contact Centre","Adult Social Care","Referral",4," NFA"
"Apr","CC","Contact Centre","Adult Social Care","Referral",7,"BD11"
"Apr","CC","Contact Centre","Adult Social Care","Referral",1,"BD16"
"Apr","CC","Contact Centre","Adult Social Care","Referral",1,"HD2 "
"Apr","CC","Contact Centre","Adult Social Care","Referral",5,"BD4 "
"Apr","CC","Contact Centre","Adult Social Care","Referral",116,"LS10"
"Apr","CC","Contact Centre","Adult Social Care","Referral",1,"HG5 "
"Apr","CC","Contact Centre","Adult Social Care","Referral",1,"LS1 "
"Apr","CC","Contact Centre","Adult Social Care","Referral",78,"LS11"
"Apr","CC","Contact Centre","Adult Social Care","Signposting",2,"LS8 "
"Apr","CC","Contact Centre","Adult Social Care","Signposting",2,"LS6 "
"Apr","CC","Contact Centre","Adult Social Care","Signposting",15," NFA"
"Apr","CC","Contact Centre","Adult Social Care","Signposting",1,"BD11"
"Apr","CC","Contact Centre","Adult Social Care","Signposting",2,"LS11"
"Apr","CC","Contact Centre","Adult Social Care","Signposting",1,"LS12"
"Apr","CC","Contact Centre","Adult Social Care","Signposting",1,"LS15"
"Apr","CC","Contact Centre","Adult Social Care","Signposting",1,"LS13"
"Apr","CC","Contact Centre","Adult Social Care","Signposting",2,"LS14"
"Apr","CC","Contact Centre","Adult Social Care","Signposting",2,"LS7 "
"Apr","CC","Contact Centre","Adult Social Care","Signposting",2,"LS4 "
"Apr","CC","Contact Centre","Adult Social Care","Signposting",1,"LS5 "
"Apr","CC","Contact Centre","Adult Social Care","Signposting",2,"LS26"
"Apr","CC","Contact Centre","Adult Social Care","Signposting",1,"LS28"
"Apr","CC","Contact Centre","Adult Social Care","Signposting",1,"LS25"
"Apr","CC","Contact Centre","Adult Social Care","Signposting",1,"LS21"
"Apr","CC","Contact Centre","Adult Social Care","Signposting",1,"WF10"
"Apr","CC","Contact Centre","Adult Social Care","Signposting",1,"NP44"
"Apr","CC","Contact Centre","Adult Social Care","Signposting",1,"LS19"
"Apr","CC","Contact Centre","Adult Social Care","Signposting",1,"LS9 "
"Apr","CC","Contact Centre","Benefits","Advice and Information",1,"LS22"
"Apr","CC","Contact Centre","Benefits","Advice and Information",1,"LS7 "
"Apr","CC","Contact Centre","Benefits","Applications and Changes",1,"LS15"
"Apr","CC","Contact Centre","Benefits","Applications and Changes",3,"LS7 "
"Apr","CC","Contact Centre","Benefits","Applications and Changes",1,"LS10"
"Apr","CC","Contact Centre","Benefits","Applications and Changes",2,"LS12"
"Apr","CC","Contact Centre","Benefits","Applications and Changes",1,"LS28"
"Apr","CC","Contact Centre","Benefits","Applications and Changes",1,"LS21"
"Apr","CC","Contact Centre","Benefits","Customer Relations",1,"LS14"
"Apr","CC","Contact Centre","Benefits","Customer Relations",1,"LS17"
"Apr","CC","Contact Centre","Benefits","Customer Relations",1,"LS3 "
"Apr","CC","Contact Centre","Benefits","Customer Relations",1,"LS26"
"Apr","CC","Contact Centre","Benefits","Customer Relations",2,"LS13"
"Apr","CC","Contact Centre","Benefits","Customer Relations",3,"LS27"
"Apr","CC","Contact Centre","Benefits","Customer Relations",1,"LS12"
"Apr","CC","Contact Centre","Benefits","Customer Relations",1,"LS21"
"Apr","CC","Contact Centre","Benefits","Customer Relations",1,"LS6 "
"Apr","CC","Contact Centre","Benefits","Customer Relations",1,"LS2 "
"Apr","CC","Contact Centre","Benefits","Reception",1,"LS12"
"Apr","CC","Contact Centre","Catering & Cleaning","Customer Relations",1," NFA"
"Apr","CC","Contact Centre","Children & Young Peoples Services","Advice",159," NFA"
"Apr","CC","Contact Centre","Children & Young Peoples Services","Advice",4,"LS26"
"Apr","CC","Contact Centre","Children & Young Peoples Services","Advice",2,"LS28"
"Apr","CC","Contact Centre","Children & Young Peoples Services","Advice",6,"LS25"
"Apr","CC","Contact Centre","Children & Young Peoples Services","Advice",2,"LS22"
"Apr","CC","Contact Centre","Children & Young Peoples Services","Advice",2,"LS21"
"Apr","CC","Contact Centre","Children & Young Peoples Services","Advice",1,"LS18"
"Apr","CC","Contact Centre","Children & Young Peoples Services","Advice",2,"LS2 "
"Apr","CC","Contact Centre","Children & Young Peoples Services","Advice",1,"NG32"
"Apr","CC","Contact Centre","Children & Young Peoples Services","Advice",1,"WF3 "
"Apr","CC","Contact Centre","Children & Young Peoples Services","Advice",7,"LS14"
"Apr","CC","Contact Centre","Children & Young Peoples Services","Advice",7,"LS17"
"Apr","CC","Contact Centre","Children & Young Peoples Services","Advice",3,"LS19"
"Apr","CC","Contact Centre","Children & Young Peoples Services","Advice",2,"LS6 "
"Apr","CC","Contact Centre","Children & Young Peoples Services","Advice",11,"LS9 "
"Apr","CC","Contact Centre","Children & Young Peoples Services","Advice",6,"LS7 "
"Apr","CC","Contact Centre","Children & Young Peoples Services","Advice",10,"LS8 "
"Apr","CC","Contact Centre","Children & Young Peoples Services","Advice",2,"LS27"
"Apr","CC","Contact Centre","Children & Young Peoples Services","Advice",1,"LS16"
"Apr","CC","Contact Centre","Children & Young Peoples Services","Advice",5,"LS13"
"Apr","CC","Contact Centre","Children & Young Peoples Services","Advice",2,"LS15"
"Apr","CC","Contact Centre","Children & Young Peoples Services","Advice",4,"LS12"
"Apr","CC","Contact Centre","Children & Young Peoples Services","Advice",6,"LS11"
"Apr","CC","Contact Centre","Children & Young Peoples Services","Advice",1,"LS1 "
"Apr","CC","Contact Centre","Children & Young Peoples Services","Advice",5,"LS10"
"Apr","CC","Contact Centre","Children & Young Peoples Services","Advice",1,"BD10"
"Apr","CC","Contact Centre","Children & Young Peoples Services","Customer Relations",1,"SK5 "
"Apr","CC","Contact Centre","Children & Young Peoples Services","Customer Relations",1,"LS19"
"Apr","CC","Contact Centre","Children & Young Peoples Services","Customer Relations",1,"LS28"
"Apr","CC","Contact Centre","Children & Young Peoples Services","Customer Relations",1,"LS14"
"Apr","CC","Contact Centre","Children & Young Peoples Services","Customer Relations",1,"LS11"
"Apr","CC","Contact Centre","Children & Young Peoples Services","Permits",1,"LS17"
"Apr","CC","Contact Centre","Children & Young Peoples Services","Permits",1,"LS27"
"Apr","CC","Contact Centre","Children & Young Peoples Services","Permits",1,"LS20"
"Apr","CC","Contact Centre","Children & Young Peoples Services","Permits",2,"LS23"
"Apr","CC","Contact Centre","Children & Young Peoples Services","Permits",2,"LS12"
"Apr","CC","Contact Centre","Children & Young Peoples Services","Permits",1,"BD3 "
"Apr","CC","Contact Centre","Children & Young Peoples Services","Permits",1,"LS16"
"Apr","CC","Contact Centre","Children & Young Peoples Services","Permits",2,"LS15"
"Apr","CC","Contact Centre","Children & Young Peoples Services","Permits",2,"LS11"
"Apr","CC","Contact Centre","Children & Young Peoples Services","Permits",1,"LS19"
"Apr","CC","Contact Centre","Children & Young Peoples Services","Permits",2,"LS26"
"Apr","CC","Contact Centre","Children & Young Peoples Services","Permits",3,"LS8 "
"Apr","CC","Contact Centre","Children & Young Peoples Services","Reception",1,"LS13"
"Apr","CC","Contact Centre","Children & Young Peoples Services","Reception",1,"LS15"
"Apr","CC","Contact Centre","Children & Young Peoples Services","Reception",4,"LS12"
"Apr","CC","Contact Centre","Children & Young Peoples Services","Reception",2,"LS11"
"Apr","CC","Contact Centre","Children & Young Peoples Services","Reception",2,"LS10"
"Apr","CC","Contact Centre","Children & Young Peoples Services","Reception",38," NFA"
"Apr","CC","Contact Centre","Children & Young Peoples Services","Reception",1,"LS26"
"Apr","CC","Contact Centre","Children & Young Peoples Services","Reception",1,"LS25"
"Apr","CC","Contact Centre","Children & Young Peoples Services","Reception",1,"LS27"
"Apr","CC","Contact Centre","Children & Young Peoples Services","Reception",1,"LS2 "
"Apr","CC","Contact Centre","Children & Young Peoples Services","Reception",1,"LS14"
"Apr","CC","Contact Centre","Children & Young Peoples Services","Reception",2,"LS9 "
"Apr","CC","Contact Centre","Children & Young Peoples Services","Reception",1,"LS6 "
"Apr","CC","Contact Centre","Children & Young Peoples Services","Reception",1,"LS8 "
"Apr","CC","Contact Centre","Children & Young Peoples Services","Reception",1,"LS5 "
"Apr","CC","Contact Centre","Children & Young Peoples Services","Referral",1,"LS16"
"Apr","CC","Contact Centre","Children & Young Peoples Services","Request for Service",1,"DN23"
"Apr","CC","Contact Centre","Children & Young Peoples Services","Request for Service",3,"BD14"
"Apr","CC","Contact Centre","Children & Young Peoples Services","Request for Service",1,"BD21"
"Apr","CC","Contact Centre","Children & Young Peoples Services","Request for Service",1,"BD15"
"Apr","CC","Contact Centre","Children & Young Peoples Services","Request for Service",6,"BD11"
"Apr","CC","Contact Centre","Children & Young Peoples Services","Request for Service",1,"BD10"
"Apr","CC","Contact Centre","Children & Young Peoples Services","Request for Service",20," NFA"
"Apr","CC","Contact Centre","Children & Young Peoples Services","Request for Service",4,"LS3 "
"Apr","CC","Contact Centre","Children & Young Peoples Services","Request for Service",71,"LS26"
"Apr","CC","Contact Centre","Children & Young Peoples Services","Request for Service",55,"LS28"
"Apr","CC","Contact Centre","Children & Young Peoples Services","Request for Service",23,"LS25"
"Apr","CC","Contact Centre","Children & Young Peoples Services","Request for Service",3,"LS24"
"Apr","CC","Contact Centre","Children & Young Peoples Services","Request for Service",1,"FY2 "
"Apr","CC","Contact Centre","Children & Young Peoples Services","Request for Service",1,"BD4 "
"Apr","CC","Contact Centre","Children & Young Peoples Services","Request for Service",1,"DL5 "
"Apr","CC","Contact Centre","Children & Young Peoples Services","Request for Service",1,"DL7 "
"Apr","CC","Contact Centre","Children & Young Peoples Services","Request for Service",171,"LS10"
"Apr","CC","Contact Centre","Children & Young Peoples Services","Request for Service",3,"LS1 "
"Apr","CC","Contact Centre","Children & Young Peoples Services","Request for Service",113,"LS11"
"Apr","CC","Contact Centre","Children & Young Peoples Services","Request for Service",128,"LS12"
"Apr","CC","Contact Centre","Children & Young Peoples Services","Request for Service",22,"LS5 "
"Apr","CC","Contact Centre","Children & Young Peoples Services","Request for Service",1,"LS29"
"Apr","CC","Contact Centre","Children & Young Peoples Services","Request for Service",101,"LS13"
"Apr","CC","Contact Centre","Children & Young Peoples Services","Request for Service",41,"LS15"
"Apr","CC","Contact Centre","Children & Young Peoples Services","Request for Service",61,"LS16"
"Apr","CC","Contact Centre","Children & Young Peoples Services","Request for Service",17,"LS4 "
"Apr","CC","Contact Centre","Children & Young Peoples Services","Request for Service",150,"LS8 "
"Apr","CC","Contact Centre","Children & Young Peoples Services","Request for Service",59,"LS6 "
"Apr","CC","Contact Centre","Children & Young Peoples Services","Request for Service",201,"LS9 "
"Apr","CC","Contact Centre","Children & Young Peoples Services","Request for Service",82,"LS7 "
"Apr","CC","Contact Centre","Children & Young Peoples Services","Request for Service",1,"OL7 "
"Apr","CC","Contact Centre","Children & Young Peoples Services","Request for Service",1,"S20 "
"Apr","CC","Contact Centre","Children & Young Peoples Services","Request for Service",1,"SP9 "
"Apr","CC","Contact Centre","Children & Young Peoples Services","Request for Service",1,"WF5 "
"Apr","CC","Contact Centre","Children & Young Peoples Services","Request for Service",1,"WF1 "
"Apr","CC","Contact Centre","Children & Young Peoples Services","Request for Service",15,"WF10"
"Apr","CC","Contact Centre","Children & Young Peoples Services","Request for Service",2,"YO23"
"Apr","CC","Contact Centre","Children & Young Peoples Services","Request for Service",50,"WF3 "
"Apr","CC","Contact Centre","Children & Young Peoples Services","Request for Service",170,"LS14"
"Apr","CC","Contact Centre","Children & Young Peoples Services","Request for Service",27,"LS17"
"Apr","CC","Contact Centre","Children & Young Peoples Services","Request for Service",33,"LS19"
"Apr","CC","Contact Centre","Children & Young Peoples Services","Request for Service",3,"LS2 "
"Apr","CC","Contact Centre","Children & Young Peoples Services","Request for Service",19,"LS18"
"Apr","CC","Contact Centre","Children & Young Peoples Services","Request for Service",19,"LS21"
"Apr","CC","Contact Centre","Children & Young Peoples Services","Request for Service",7,"LS23"
"Apr","CC","Contact Centre","Children & Young Peoples Services","Request for Service",2,"LS20"
"Apr","CC","Contact Centre","Children & Young Peoples Services","Request for Service",15,"LS22"
"Apr","CC","Contact Centre","Children & Young Peoples Services","Request for Service",60,"LS27"
"Apr","CC","Contact Centre","Children & Young Peoples Services","Signposting",1," NFA"
"Apr","CC","Contact Centre","Children & Young Peoples Services","Signposting",1,"LS12"
"Apr","CC","Contact Centre","Communications","Communications and Marketing",1,"S1 4"
"Apr","CC","Contact Centre","Communications","Communications and Marketing",2," NFA"
"Apr","CC","Contact Centre","Communications","Customer Relations",1,"LS12"
"Apr","CC","Contact Centre","Customer Services","Customer Relations",6,"LS16"
"Apr","CC","Contact Centre","Customer Services","Customer Relations",2,"LS8 "
"Apr","CC","Contact Centre","Customer Services","Customer Relations",2,"LS6 "
"Apr","CC","Contact Centre","Customer Services","Customer Relations",4,"LS9 "
"Apr","CC","Contact Centre","Customer Services","Customer Relations",1,"LS7 "
"Apr","CC","Contact Centre","Customer Services","Customer Relations",1,"WF3 "
"Apr","CC","Contact Centre","Customer Services","Customer Relations",3,"LS14"
"Apr","CC","Contact Centre","Customer Services","Customer Relations",2,"LS17"
"Apr","CC","Contact Centre","Customer Services","Customer Relations",1,"LS19"
"Apr","CC","Contact Centre","Customer Services","Customer Relations",1,"LS2 "
"Apr","CC","Contact Centre","Customer Services","Customer Relations",2,"LS18"
"Apr","CC","Contact Centre","Customer Services","Customer Relations",6,"LS21"
"Apr","CC","Contact Centre","Customer Services","Customer Relations",1,"LS23"
"Apr","CC","Contact Centre","Customer Services","Customer Relations",1,"LS20"
"Apr","CC","Contact Centre","Customer Services","Customer Relations",4,"LS25"
"Apr","CC","Contact Centre","Customer Services","Customer Relations",2,"LS22"
"Apr","CC","Contact Centre","Customer Services","Customer Relations",1,"LS27"
"Apr","CC","Contact Centre","Customer Services","Customer Relations",1,"LS26"
"Apr","CC","Contact Centre","Customer Services","Customer Relations",11," NFA"
"Apr","CC","Contact Centre","Customer Services","Customer Relations",1,"LA16"
"Apr","CC","Contact Centre","Customer Services","Customer Relations",1,"LS1 "
"Apr","CC","Contact Centre","Customer Services","Customer Relations",1,"LS12"
"Apr","CC","Contact Centre","Customer Services","Customer Relations",2,"LS15"
"Apr","CC","Contact Centre","Customer Services","Customer Relations",3,"LS13"
"Apr","CC","Contact Centre","Customer Services","Customer Relations",1,"LS4 "
"Apr","CC","Contact Centre","Customer Services","Permits",1,"WF3 "
"Apr","CC","Contact Centre","Customer Services","Permits",1,"LS28"
"Apr","CC","Contact Centre","Customer Services","Permits",1,"LS5 "
"Apr","CC","Contact Centre","Customer Services","Permits",1,"LS15"
"Apr","CC","Contact Centre","Customer Services","Permits",2,"LS12"
"Apr","CC","Contact Centre","Customer Services","Permits",1,"LS19"
"Apr","CC","Contact Centre","Customer Services","Permits",1,"LS6 "
"Apr","CC","Contact Centre","Customer Services","Reception",3,"LS27"
"Apr","CC","Contact Centre","Customer Services","Reception",2,"LS8 "
"Apr","CC","Contact Centre","Customer Services","Reception",3,"LS15"
"Apr","CC","Contact Centre","Customer Services","Reception",1,"HG1 "
"Apr","CC","Contact Centre","Customer Services","Reception",3,"LS11"
"Apr","CC","Contact Centre","Customer Services","Reception",1,"LS25"
"Apr","CC","Contact Centre","Customer Services","Reception",2,"LS22"
"Apr","CC","Contact Centre","Customer Services","Reception",1,"LS23"
"Apr","CC","Contact Centre","Customer Services","Reception",3,"LS10"
"Apr","CC","Contact Centre","Customer Services","Reception",6,"LS13"
"Apr","CC","Contact Centre","Customer Services","Reception",1,"BD4 "
"Apr","CC","Contact Centre","Customer Services","Reception",1,"CH4 "
"Apr","CC","Contact Centre","Customer Services","Reception",3,"LS17"
"Apr","CC","Contact Centre","Customer Services","Reception",61," NFA"
"Apr","CC","Contact Centre","Customer Services","Reception",3,"LS14"
"Apr","CC","Contact Centre","Customer Services","Reception",5,"LS12"
"Apr","CC","Contact Centre","Customer Services","Reception",3,"LS16"
"Apr","CC","Contact Centre","Customer Services","Reception",1,"LS26"
"Apr","CC","Contact Centre","Customer Services","Reception",1,"NULL"
"Apr","CC","Contact Centre","Customer Services","Reception",1,"ME14"
"Apr","CC","Contact Centre","Customer Services","Reception",2,"LS28"
"Apr","CC","Contact Centre","Customer Services","Reception",1,"LS6 "
"Apr","CC","Contact Centre","Customer Services","Welfare Rights",1,"LS23"
"Apr","CC","Contact Centre","Customer Services","Welfare Rights",2," NFA"
"Apr","CC","Contact Centre","Democratic Services","Functions",4," NFA"
"Apr","CC","Contact Centre","Democratic Services","Functions",1,"WF3 "
"Apr","CC","Contact Centre","Democratic Services","Functions",1,"LS23"
"Apr","CC","Contact Centre","Development Resources & Strategy","Customer Relations",1,"BD11"
"Apr","CC","Contact Centre","Development Resources & Strategy","Finance",1," NFA"
"Apr","CC","Contact Centre","Development Resources & Strategy","Human Resources",1," NFA"
"Apr","CC","Contact Centre","Economic Development","Business Support",4," NFA"
"Apr","CC","Contact Centre","Economic Development","City Centre Management",1,"LS17"
"Apr","CC","Contact Centre","Economic Development","City Centre Management",2," NFA"
"Apr","CC","Contact Centre","Economic Development","City Centre Management",1,"WC1V"
"Apr","CC","Contact Centre","Economic Development","Customer Relations",1,"LS9 "
"Apr","CC","Contact Centre","Economic Development","Reception",2," NFA"
"Apr","CC","Contact Centre","Economic Development","Tourism",3," NFA"
"Apr","CC","Contact Centre","Education Leeds","Contact Centre",52,"LS13"
"Apr","CC","Contact Centre","Education Leeds","Contact Centre",114,"LS12"
"Apr","CC","Contact Centre","Education Leeds","Contact Centre",4,"LS1 "
"Apr","CC","Contact Centre","Education Leeds","Contact Centre",149,"LS11"
"Apr","CC","Contact Centre","Education Leeds","Contact Centre",1,"HG1 "
"Apr","CC","Contact Centre","Education Leeds","Contact Centre",95,"LS10"
"Apr","CC","Contact Centre","Education Leeds","Contact Centre",1,"DL9 "
"Apr","CC","Contact Centre","Education Leeds","Contact Centre",5,"LA16"
"Apr","CC","Contact Centre","Education Leeds","Contact Centre",3,"BD7 "
"Apr","CC","Contact Centre","Education Leeds","Contact Centre",13,"BD4 "
"Apr","CC","Contact Centre","Education Leeds","Contact Centre",2,"EN6 "
"Apr","CC","Contact Centre","Education Leeds","Contact Centre",1,"BD13"
"Apr","CC","Contact Centre","Education Leeds","Contact Centre",1,"BD12"
"Apr","CC","Contact Centre","Education Leeds","Contact Centre",1,"BT29"
"Apr","CC","Contact Centre","Education Leeds","Contact Centre",1,"BN2 "
"Apr","CC","Contact Centre","Education Leeds","Contact Centre",64,"LS16"
