RESPNUM,CCGID,TERM,STRATA,ATYPE,AIRLINE,DEST,GATENUM,INTDATE,Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3A,Q4A,Q4B,Q4C,Q5,Q5AVG,SAQ,Q6A,Q6B,Q6C,Q6D,Q6E,Q6F,Q6G,Q6H,Q6I,Q6J,Q6K,Q6L,Q6M,Q6N,Q7COM1,Q7COM2,Q7COM3,Q7A1,Q7A2,Q7A3,Q8A,Q8B,Q8C,Q8D,Q8E,Q8F,Q8COM1,Q8COM2,Q8COM3,Q9,Q9APOS1,Q9APOS2,Q9APOS3,Q9ANEG1,Q9ANEG2,Q9ANEG3,Q9ANTR1,Q9ANTR2,Q9ANTR3,Q10,Q11,Q11A1,Q11A2,Q11A3,Q12,Q13A,Q13B,Q13_COM,Q13COM1,Q13COM2,Q13COM3,Q14,Q14A,Q14A1,Q14A2,Q14A3,Q15,SFFLAG,COUNTRY,Q17,AGE,Q18,Q19,INC,MAIL,LANG,DESTMARK,DESTINATION,DESTGEO,WEIGHT,Location 1
275,18,3,2,1,24,2,70,1,1,2,8,,,,,3,11,,,,,9,2,2,2,2,2,1,5,5,4,5,5,4,4,4,5,6,6,6,6,5,,,,,,,4,6,6,6,5,3,,,,5,,,,,,,,,,2,,,,,11,5,4,,,,,2,,,,,3,4,62,3,29.5,1,2,75000,1,1,1,BOISE,1,1.592296,
276,19,3,2,1,24,2,70,1,1,2,8,,,,,3,11,,,,,9,2,2,1,3,4.5,1,6,4,3,3,6,3,6,6,6,6,6,6,6,4,73,2,,,,,3,6,6,6,4,3,,,,5,,,,,,,,,,2,,,,,11,4,3,,,,,2,,,,,3,4,62,3,29.5,1,1,25000,1,1,1,BOISE,1,1.592296,
277,20,3,2,1,24,2,70,1,1,2,8,,,,,3,11,,,,,9,3,1,2,3,4.5,1,5,6,4,5,5,5,6,6,6,6,6,6,6,4,22,,,,,,4,6,6,6,6,4,,,,5,,,,,,,,,,2,,,,,11,5,6,,,,,2,,,,,3,4,62,5,49.5,2,1,25000,1,1,1,BOISE,1,1.592296,
278,21,3,2,1,24,2,70,1,1,2,8,,,,,3,11,,,,,9,2,1,1,2,2,1,3,5,4,4,5,5,6,6,6,6,6,6,6,5,20,,,,,,4,6,6,6,3,3,,,,5,,,,,,,,,,2,,,,,11,3,3,,,,,2,,,,,3,4,62,3,29.5,2,0,,1,1,1,BOISE,1,1.592296,
279,22,3,2,1,24,2,70,1,1,2,8,,,,,3,11,,,,,9,2,2,1,1,1,2,6,3,6,0,6,4,6,6,6,6,6,6,6,0,,,,,,,0,0,0,0,0,0,,,,0,,,,,,,,,,0,,,,,11,0,0,,,,,0,,,,,3,5,0,0,,0,0,,1,1,1,BOISE,1,1.592296,
280,23,3,2,1,24,2,70,1,2,2,8,,,,,8,11,,,,,9,0,1,0,1,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,3,3,3,3,3,3,,,,3,,,,,,,,,,0,,,,,12,0,0,,,,,0,,,,,0,5,0,5,49.5,2,3,125000,1,1,1,BOISE,1,1.592296,
281,24,3,2,1,24,2,70,1,1,2,8,,,,,3,11,,,,,9,2,2,1,1,1,2,5,5,4,4,6,5,6,6,6,6,6,6,6,4,,,,,,,4,6,6,6,4,3,,,,4,,,,,,,,,,2,,,,,11,4,6,,,,,2,,,,,3,5,0,0,,0,0,,1,1,1,BOISE,1,1.592296,
282,25,3,2,1,24,2,70,1,1,2,8,,,,,3,11,,,,,9,1,1,1,1,1,2,3,5,5,4,3,5,6,6,6,6,6,6,6,4,,,,,,,3,6,6,6,3,2,,,,5,,,,,,,,,,2,,,,,11,5,4,,,,,2,,,,,3,4,62,3,29.5,1,2,75000,1,1,1,BOISE,1,1.592296,
283,26,3,2,1,24,2,70,1,1,1,8,,,,,3,11,,,,,9,2,2,2,3,4.5,2,2,4,3,4,5,4,3,3,6,6,6,6,6,4,,,,,,,4,6,6,4,0,2,,,,3,,,,,,,,,,2,,,,,11,4,4,,,,,2,,,,,3,4,30,5,49.5,1,4,175000,1,1,1,BOISE,1,1.592296,
284,27,3,2,1,24,2,70,1,2,1,8,,,,,5,11,,,,,9,2,2,1,4,9.5,2,4,4,3,3,4,4,6,6,5,4,4,4,2,3,,,,,,,4,5,5,6,4,3,,,,4,,,,,,,,,,1,3,,,,5,4,5,,,,,2,,,,,1,1,62,3,29.5,2,2,75000,1,1,1,BOISE,1,1.592296,
285,28,3,2,1,24,2,70,1,1,2,8,,,,,3,11,,,,,9,2,2,1,1,1,2,5,4,4,4,4,4,4,4,6,6,6,6,6,4,,,,,,,4,4,4,4,4,4,,,,5,,,,,,,,,,2,,,,,11,4,6,,,,,2,,,,,3,4,62,4,39.5,1,3,125000,1,1,1,BOISE,1,1.592296,
286,29,3,2,1,24,2,70,1,1,1,8,,,,,3,11,,,,,9,1,1,1,2,2,2,4,4,4,4,3,3,6,6,6,6,6,6,6,4,,,,,,,4,6,6,6,4,4,,,,5,,,,,,,,,,2,,,,,11,5,4,,,,,2,,,,,3,4,62,3,29.5,1,2,75000,1,1,1,BOISE,1,1.592296,
287,30,3,2,1,24,2,70,1,1,2,8,,,,,3,11,,,,,9,2,2,2,2,2,2,6,4,4,4,4,4,6,6,6,6,6,6,6,4,,,,,,,5,6,6,6,6,3,,,,4,,,,,,,,,,2,,,,,11,5,6,,,,,2,,,,,3,4,62,3,29.5,2,2,75000,1,1,1,BOISE,1,1.592296,
288,31,3,2,1,24,2,70,1,1,2,8,,,,,3,11,,,,,9,0,1,0,1,1,2,3,3,3,4,4,4,6,6,0,0,0,0,0,3,28,,,,,,3,6,6,6,3,4,,,,0,,,,,,,,,,0,,,,,11,0,0,,,,,0,,,,,3,4,62,4,39.5,1,2,75000,1,1,1,BOISE,1,1.592296,
289,32,3,2,1,24,2,70,1,1,1,2,8,,,,3,11,,,,,9,2,2,2,3,4.5,2,3,6,6,3,3,4,6,6,6,6,6,6,6,3,,,,,,,2,6,4,6,6,2,,,,3,,,,,,,,,,1,3,,,,11,0,0,,,,,0,,,,,3,5,0,7,75,0,0,,1,1,1,BOISE,1,1.592296,
290,33,3,2,1,24,2,70,1,1,1,8,,,,,3,11,,,,,9,1,1,2,2,2,2,6,6,4,4,6,6,5,6,6,6,6,6,6,4,77,,,,,,4,0,0,0,0,0,,,,5,,,,,,,,,,2,,,,,11,4,3,,,,,2,,,,,3,4,62,5,49.5,2,3,125000,1,1,1,BOISE,1,1.592296,
291,34,3,2,1,24,2,70,1,2,3,8,,,,,2,11,,,,,9,1,1,1,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,3,6,6,6,3,4,,,,5,,,,,,,,,,2,,,,,1,5,5,,,,,2,,,,,1,5,0,2,21,2,1,25000,1,1,1,BOISE,1,1.592296,
292,35,3,2,1,24,2,70,1,1,1,8,,,,,3,11,,,,,9,2,2,2,2,2,2,4,4,4,4,4,4,4,4,6,6,6,6,6,4,,,,,,,3,6,6,6,4,5,,,,5,,,,,,,,,,2,,,,,11,5,5,,,,,2,,,,,3,4,62,6,59.5,0,4,175000,1,1,1,BOISE,1,1.592296,
293,36,3,2,1,24,2,70,1,2,1,8,,,,,5,11,,,,,9,2,2,1,4,9.5,2,4,3,3,3,4,4,6,6,0,0,2,0,0,0,1,,,,,,3,6,3,0,0,3,,,,3,,,,,,,,,,0,,,,,7,4,2,,,,,2,,,,,2,4,62,6,59.5,1,0,,1,1,1,BOISE,1,1.592296,
294,37,3,2,1,24,2,70,1,1,1,8,,,,,3,11,,,,,9,1,1,1,1,1,2,6,4,4,4,4,4,6,6,6,6,6,6,6,4,,,,,,,4,6,6,6,4,4,,,,4,,,,,,,,,,2,,,,,11,4,3,,,,,2,,,,,3,4,62,4,39.5,1,2,75000,1,1,1,BOISE,1,1.592296,
295,38,3,2,1,24,2,70,1,1,3,8,,,,,3,11,,,,,9,1,0,1,2,2,2,4,5,4,4,3,5,4,4,4,4,5,4,5,4,77,,,,,,5,4,5,5,5,5,,,,5,,,,,,,,,,2,,,,,11,0,0,,,,,0,,,,,3,4,24,3,29.5,2,1,25000,1,1,1,BOISE,1,1.592296,
296,39,3,2,1,24,2,70,1,1,3,8,,,,,3,11,,,,,9,2,2,1,1,1,2,3,3,3,3,3,3,3,3,6,6,6,6,6,2,,,,,,,1,6,6,6,6,2,,,,4,,,,,,,,,,2,,,,,11,3,4,,,,,2,,,,,3,4,62,5,49.5,1,0,,1,1,1,BOISE,1,1.592296,
297,503,3,3,1,8,2,67,7,2,1,8,,,,,1,11,,,,,1,1,2,2,4,9.5,1,4,3,4,3,4,2,3,3,3,2,4,4,2,3,6,33,70,,,,4,4,4,4,3,3,,,,3,,,,,,,18,,,2,,,,,1,5,5,,,,,2,,,,,1,10,62,5,49.5,1,4,175000,1,1,2,MIAMI,2,1.592296,
298,504,3,3,1,8,2,67,7,2,1,8,,,,,5,11,,,,,9,2,1,2,1,1,1,4,6,4,5,5,5,6,5,6,6,5,6,6,5,,,,,,,5,6,5,6,6,4,,,,4,,,,,,,,,,2,,,,,1,5,5,,,,,2,,,,,2,4,62,3,29.5,2,2,75000,1,1,2,MIAMI,2,1.592296,
299,505,3,3,1,8,2,67,7,2,1,8,,,,,4,11,,,,,9,2,1,1,1,1,1,6,4,4,4,6,4,6,4,6,6,6,6,6,4,70,,,,,,4,6,6,6,6,3,3,,,5,,,,,,,,,,2,,,,,5,4,5,,,,,2,,,,,2,4,62,4,39.5,1,4,175000,1,1,2,MIAMI,2,1.592296,
300,506,3,3,1,8,2,67,7,2,1,8,,,,,4,11,,,,,9,1,1,1,1,1,1,3,3,4,5,5,5,6,5,6,6,6,6,6,4,,,,74,29,,4,6,6,6,4,4,,,,5,,,,,,,,,,2,,,,,5,5,5,,,,,2,,,,,2,4,62,3,29.5,1,3,125000,1,1,2,MIAMI,2,1.592296,
301,507,3,3,1,8,2,67,7,2,3,8,,,,,1,11,,,,,4,2,2,2,3,4.5,2,4,4,4,4,5,5,4,4,5,4,4,5,4,5,,,,,,,5,4,4,4,5,5,,,,4,,,,,,,,,,2,,,,,7,5,4,,,,,2,,,,,1,13,62,5,49.5,2,4,175000,1,1,2,MIAMI,2,1.592296,
302,508,3,3,1,8,2,67,7,1,2,8,,,,,3,11,,,,,9,1,0,1,0,0,2,4,4,4,4,4,4,4,4,0,0,0,0,0,3,95,,,,,,4,0,0,0,4,5,8,,,5,,,,,,,,,,2,,,,,11,0,0,,,,,2,,,,,3,4,20,5,49.5,2,0,,1,1,2,MIAMI,2,1.592296,
303,509,3,3,1,8,2,67,7,2,2,8,,,,,9,11,,,,,9,1,2,1,1,1,2,2,3,3,2,3,2,2,2,6,6,3,6,4,3,,,,,,,3,6,3,3,4,3,,,,3,,,,,,,,,,3,,,,,5,5,5,,,,,2,,,,,2,4,29,3,29.5,2,1,25000,1,1,2,MIAMI,2,1.592296,
304,510,3,3,1,8,2,67,7,1,6,8,,,,,3,11,,,,,9,1,2,1,1,1,2,3,3,3,3,3,3,2,2,4,6,4,6,4,3,,,,,,,4,6,4,4,4,3,,,,5,,,,,,,,,,2,,,,,11,5,5,,2,,,2,,,,,3,4,29,3,29.5,1,2,75000,1,1,2,MIAMI,2,1.592296,
305,511,3,3,1,8,2,67,7,2,2,8,,,,,2,11,,,,,9,2,1,1,3,4.5,2,5,4,4,5,5,4,1,1,5,5,5,5,5,4,40,,,,,,5,4,5,5,5,4,,,,5,1,,,,,,,,,2,,,,,6,5,5,,,,,2,,,,,1,12,62,5,49.5,2,1,25000,1,1,2,MIAMI,2,1.592296,
306,512,3,3,1,8,2,67,7,2,3,8,,,,,2,11,,,,,9,1,2,2,2,2,2,5,5,5,5,5,5,5,5,5,3,5,3,3,4,,,,,,,4,4,4,4,4,4,,,,4,,,,,,,,,,2,,,,,5,5,5,,,,,2,,,,,1,1,62,6,59.5,2,1,25000,1,1,2,MIAMI,2,1.592296,
307,513,3,3,1,8,2,67,7,2,1,8,,,,,5,11,,,,,9,2,2,1,4,9.5,2,4,4,4,5,5,5,4,4,5,5,5,5,5,4,,,,,,,5,5,5,5,5,5,,,,5,,,,,,,,,,2,,,,,5,4,4,,,,,2,,,,,1,12,62,3,29.5,1,2,75000,1,1,2,MIAMI,2,1.592296,
308,514,3,3,1,8,2,67,7,2,1,8,,,,,9,11,,,,,9,2,2,1,2,2,2,4,4,4,4,4,4,4,6,5,6,5,6,5,5,,,,,,,5,6,5,5,5,5,,,,5,,,,,,,,,,2,,,,,7,5,5,,,,,2,,,,,2,4,62,3,29.5,1,3,125000,1,1,2,MIAMI,2,1.592296,
309,515,3,3,1,8,2,67,7,2,2,8,,,,,2,11,,,,,9,1,2,1,1,1,2,6,6,3,3,4,4,2,2,3,6,6,6,6,4,5,,,,,,5,6,6,6,6,3,,,,3,,,,,,,20,,,2,,,,,1,3,3,,,,,2,,,,,2,4,5,4,39.5,1,1,25000,1,1,2,MIAMI,2,1.592296,
310,516,3,3,1,8,2,67,7,2,2,8,,,,,9,11,,,,,9,1,1,2,1,1,2,4,3,3,5,5,4,6,5,5,6,2,0,5,4,7,31,,,,,5,6,5,3,6,3,,,,5,,,,,,,,,,2,,,,,18,5,5,,2,,,1,,,,,2,4,62,6,59.5,1,3,125000,1,1,2,MIAMI,2,1.592296,
311,517,3,3,1,8,2,67,7,2,2,8,,,,,1,11,,,,,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,5,,,,,,,,,,2,,,,,5,5,0,,,,,2,,,,,1,11,62,4,39.5,2,1,25000,1,1,2,MIAMI,2,1.592296,
312,518,3,3,1,8,2,67,7,2,6,8,,,,,5,11,,,,,9,1,2,2,1,1,2,4,6,6,4,4,4,5,5,6,6,4,6,6,4,31,,,,,,5,6,5,6,6,5,,,,4,,,,,,,,,,2,,,,,8,4,5,,,,,2,,,,,1,17,62,3,29.5,1,1,25000,1,1,2,MIAMI,2,1.592296,
313,519,3,3,1,8,2,67,7,2,6,8,,,,,5,11,,,,,9,1,0,0,3,4.5,2,3,3,3,4,4,4,6,6,4,0,0,0,0,3,31,,,,,,4,3,4,0,0,4,,,,4,,,,,,,,,,2,,,,,8,4,0,,,,,2,,,,,1,17,62,3,29.5,1,1,25000,1,1,2,MIAMI,2,1.592296,
314,520,3,3,1,8,2,67,7,2,1,8,,,,,9,11,,,,,9,1,1,1,2,2,2,6,4,6,4,5,4,4,4,4,6,5,6,5,4,,,,,,,4,4,5,5,5,4,,,,5,,,,,,,,,,2,,,,,12,5,4,,,,,2,,,,,2,4,8,3,29.5,1,2,75000,1,1,2,MIAMI,2,1.592296,
315,521,3,3,1,8,2,67,7,2,2,8,,,,,4,11,,,,,9,1,1,1,1,1,2,2,3,3,3,3,4,4,6,6,6,6,6,6,4,,,,,,,3,6,6,6,3,2,3,,,4,1,,,,,,,,,2,,,,,12,4,4,,,,,2,,,,,2,4,58,4,39.5,2,3,125000,1,1,2,MIAMI,2,1.592296,
316,522,3,3,1,8,2,67,7,2,5,8,,,,,4,11,,,,,9,1,1,1,1,1,2,4,4,4,4,2,3,6,6,6,6,6,6,6,4,,,,,,,3,6,6,6,4,4,,,,4,,,,,,,,,,2,,,,,12,4,4,,,,,2,,,,,2,4,58,5,49.5,1,3,125000,1,1,2,MIAMI,2,1.592296,
317,523,3,3,1,8,2,67,7,1,1,8,,,,,3,11,,,,,9,1,1,1,1,1,2,5,3,3,4,4,3,6,6,6,6,3,6,6,4,30,75,,,,,4,6,4,6,4,4,,,,5,1,,,,,,,,,2,,,,,11,3,3,,,,,2,,,,,3,4,14,4,39.5,1,2,75000,1,1,2,MIAMI,2,1.592296,
318,524,3,3,1,8,2,67,7,1,1,8,,,,,3,11,,,,,9,2,2,2,1,1,2,6,6,4,0,6,4,6,6,4,6,6,6,6,4,,,,,,,5,6,6,6,6,5,,,,4,1,2,,,,,,,,2,,,,,11,5,5,,2,,,2,,,,,3,4,13,5,49.5,2,0,,1,2,2,MIAMI,2,1.592296,
319,574,1,1,1,12,2,45,6,2,2,8,,,,,2,11,,,,,9,1,2,2,4,9.5,1,5,4,6,5,5,5,6,6,4,5,4,4,6,5,,,,,,,5,5,5,6,5,5,,,,5,,,,,,,,,,1,4,4,,,6,5,5,,,,,2,,,,,1,12,62,3,29.5,1,1,25000,1,1,3,MINNEAPOLIS,3,1.013018,
320,575,1,1,1,12,2,45,6,2,2,8,,,,,6,11,,,,,9,1,2,2,3,4.5,1,4,4,6,4,6,3,6,6,6,6,6,6,6,4,36,51,,,,,3,6,6,6,6,4,,,,4,,,,,,,,,,1,4,4,,,23,5,5,,,,,2,,,,,4,3,62,6,59.5,2,1,25000,1,1,3,MINNEAPOLIS,3,1.013018,
321,576,1,1,1,12,2,45,6,2,3,8,,,,,2,11,,,,,9,1,2,1,3,4.5,1,6,4,4,2,4,3,6,6,4,6,6,6,4,4,77,51,55,,,,4,6,6,6,4,4,,,,4,,,,,,,,,,2,,,,,6,4,4,,,,,2,,,,,1,12,62,6,59.5,2,0,,1,1,3,MINNEAPOLIS,3,1.013018,
322,577,1,1,1,12,2,45,6,2,2,8,,,,,2,11,,,,,9,1,2,2,3,4.5,1,3,3,6,2,3,2,6,3,2,2,4,6,6,3,21,90,27,,,,3,2,2,6,4,3,,,,5,,,,,,,,,,3,,,,,5,5,4,,,,,1,,1,,,1,1,62,3,29.5,1,0,,1,1,3,MINNEAPOLIS,3,1.013018,
323,578,1,1,1,12,2,45,6,2,3,8,,,,,2,11,,,,,9,2,2,2,3,4.5,2,4,3,3,4,4,3,6,6,3,6,3,6,6,2,93,,,,,,3,0,0,0,0,0,,,,3,,,,,,,,,,0,,,,,7,3,4,,,,,2,,,,,1,13,62,3,29.5,2,0,,1,1,3,MINNEAPOLIS,3,1.013018,
324,579,1,1,1,12,2,45,6,2,1,8,,,,,9,11,,,,,9,1,2,2,1,1,2,6,4,6,4,5,2,6,6,4,6,4,6,4,4,55,,,,,,5,6,4,4,4,5,12,,,4,,,,,,,,,,2,,,,,2,3,4,,,,,1,,8,,,2,3,62,5,49.5,2,4,175000,1,1,3,MINNEAPOLIS,3,1.013018,
325,580,1,1,1,12,2,45,6,2,3,8,,,,,6,11,,,,,9,2,0,0,2,2,2,0,0,0,0,5,5,2,0,0,0,0,0,0,5,40,,,,,,0,0,0,0,0,4,,,,5,6,,,,,,,,,2,,,,,2,5,4,,,,,2,,,,,1,11,62,7,75,0,0,,1,1,3,MINNEAPOLIS,3,1.013018,
326,581,1,1,1,12,2,45,6,2,4,8,,,,,2,11,,,,,9,1,2,2,2,2,2,4,6,6,4,6,4,6,6,5,6,6,6,6,4,,,,,,,3,6,6,6,6,6,,,,5,,,,,,,,,,2,,,,,6,4,4,,,,,2,,,,,1,12,62,2,21,1,1,25000,1,1,3,MINNEAPOLIS,3,1.013018,
327,582,1,1,1,12,2,45,6,2,4,8,,,,,5,11,,,,,9,1,2,2,1,1,2,4,5,4,5,5,5,4,4,6,6,5,6,6,0,,,,,,,5,6,5,6,4,4,,,,4,,,,,,,,,,1,4,,,,7,3,4,,,,,2,,,,,2,4,61,2,21,1,1,25000,1,1,3,MINNEAPOLIS,3,1.013018,
328,583,1,1,1,12,2,45,6,2,1,8,,,,,4,11,,,,,9,1,2,1,5,18.5,2,3,3,3,3,3,3,3,3,3,6,3,6,2,3,53,,,,,,2,6,3,2,3,3,,,,3,,,,,,,6,,,2,,,,,5,4,4,,,,,2,,,,,2,4,62,6,59.5,1,4,175000,1,1,3,MINNEAPOLIS,3,1.013018,
329,584,1,1,1,12,2,45,6,1,3,8,,,,,3,11,,,,,9,2,2,2,3,4.5,2,4,3,3,4,4,4,3,4,3,4,3,3,3,4,,,,,,,4,4,3,4,4,3,,,,4,,,,,,,,,,0,,,,,11,4,4,,,,,2,,,,,3,3,62,4,39.5,2,0,,1,1,3,MINNEAPOLIS,3,1.013018,
330,585,1,1,1,12,2,45,6,2,4,8,,,,,2,11,,,,,9,1,2,2,3,4.5,2,5,3,3,4,5,4,4,4,5,4,6,6,6,4,31,,,,,,5,5,5,5,5,4,,,,5,6,,,,,,,,,2,,,,,6,3,3,,,,,1,,8,,,1,5,0,2,21,2,4,175000,1,1,3,MINNEAPOLIS,3,1.013018,
331,586,1,1,1,12,2,45,6,2,2,8,,,,,9,11,,,,,9,3,2,1,2,2,2,2,3,3,4,3,3,2,2,5,5,5,6,5,6,,,,,,,3,3,4,4,6,3,,,,5,,,,,,,,,,2,,,,,5,5,5,,,,,2,,,,,2,4,35,7,75,2,1,25000,1,1,3,MINNEAPOLIS,3,1.013018,
332,587,1,1,1,12,2,45,6,2,1,8,,,,,7,11,,,,,9,1,2,1,3,4.5,2,6,3,3,3,6,4,6,6,4,6,1,6,2,2,27,,,,,,3,6,3,2,3,3,,,,3,,,,,,,,,,2,,,,,5,3,3,,,,,2,,,,,2,4,62,5,49.5,1,4,175000,1,1,3,MINNEAPOLIS,3,1.013018,
333,588,1,1,1,12,2,45,6,2,1,8,,,,,4,11,,,,,9,1,2,1,1,1,2,4,3,3,4,3,4,6,6,6,6,6,6,6,4,29,96,,,,,4,6,6,6,4,3,3,,,5,5,,,,,,,,,2,,,,,5,5,5,,,,,2,,,,,2,4,62,3,29.5,2,4,175000,1,1,3,MINNEAPOLIS,3,1.013018,
334,589,1,1,1,12,2,45,6,2,3,8,,,,,1,11,,,,,3,2,1,2,3,4.5,2,4,4,4,4,3,4,4,4,4,4,6,4,4,4,,,,,,,3,3,3,3,3,3,,,,3,,,,,,,,,,1,4,,,,9,3,0,,,,,2,,,,,1,15,62,5,49.5,2,3,125000,1,1,3,MINNEAPOLIS,3,1.013018,
335,611,1,2,1,12,2,45,6,2,2,8,,,,,6,11,,,,,9,2,1,1,2,2,1,4,3,3,4,4,4,6,6,4,5,5,6,6,4,5,90,,,,,5,6,5,6,5,4,,,,5,,,,,,,,,,2,,,,,5,5,4,,,,,2,,,,,1,1,62,4,39.5,2,1,25000,1,1,4,NEW YORK-JFK,2,1.013018,
336,612,1,2,1,12,2,45,6,2,1,8,,,,,4,11,,,,,9,2,2,1,2,2,1,2,3,6,6,6,6,6,6,6,6,6,6,6,3,71,,,,,,4,6,6,6,4,4,,,,5,,,,,,,,,,2,,,,,5,5,5,,2,,,2,,,,,2,4,62,4,39.5,1,0,,1,1,4,NEW YORK-JFK,2,1.013018,
337,613,1,2,1,12,2,45,6,2,1,8,,,,,5,11,,,,,9,2,1,2,1,1,1,2,6,3,2,4,3,6,6,6,6,4,6,6,3,51,,,,,,3,6,3,6,6,6,,,,5,,,,,,,,,,2,,,,,7,5,5,,2,,,1,,3,,,2,4,27,3,29.5,1,2,75000,1,1,4,NEW YORK-JFK,2,1.013018,
338,614,1,2,1,12,2,45,6,2,2,8,,,,,2,11,,,,,9,1,2,2,3,4.5,1,5,3,2,4,4,3,5,6,4,4,6,6,3,5,55,,,,,,4,4,6,6,6,4,,,,5,,,,,,,,,,2,,,,,7,5,5,,,,,2,,,,,1,13,62,6,59.5,2,1,25000,1,1,4,NEW YORK-JFK,2,1.013018,
339,615,1,2,1,12,2,45,6,2,2,8,,,,,2,11,,,,,9,1,2,1,4,9.5,2,4,3,4,5,5,5,3,3,6,6,6,6,6,5,,,,,,,4,6,6,6,3,2,,,,3,,,,,,,,,,2,,,,,5,5,5,,,,,2,,,,,1,1,62,5,49.5,0,3,125000,1,1,4,NEW YORK-JFK,2,1.013018,
340,616,1,2,1,12,2,45,6,2,1,8,,,,,9,11,,,,,9,2,2,1,2,2,2,6,3,3,4,4,4,6,6,4,6,4,6,4,4,1,,,,,,5,6,5,5,5,5,,,,4,2,,,,,,,,,3,,,,,7,5,5,,,,,2,,,,,2,4,62,3,29.5,1,4,175000,1,1,4,NEW YORK-JFK,2,1.013018,
341,617,1,2,1,12,2,45,6,2,2,8,,,,,1,11,,,,,0,2,2,1,4,9.5,2,3,3,3,3,3,3,3,3,3,3,6,6,6,3,21,30,,,,,3,3,3,3,3,3,,,,3,,,,,,,20,,,2,,,,,7,3,2,,,,,1,,4,,,1,13,62,7,75,1,4,175000,1,1,4,NEW YORK-JFK,2,1.013018,
342,618,1,2,1,12,2,45,6,2,2,8,,,,,5,11,,,,,9,2,1,1,1,1,2,4,2,2,4,4,4,6,3,4,2,4,3,6,3,1,,,,,,4,3,4,6,3,3,,,,4,8,,,,,,,,,2,,,,,9,3,3,,,,,2,,,,,1,15,62,6,59.5,2,2,75000,1,1,4,NEW YORK-JFK,2,1.013018,
343,619,1,2,1,12,2,45,6,2,2,8,,,,,5,11,,,,,9,1,1,2,1,1,2,6,3,3,3,3,4,3,3,6,6,6,6,6,3,73,,,,,,3,6,3,6,6,3,,,,4,,,,,,,,,,1,4,,,,5,4,4,,,,,2,,,,,2,4,53,3,29.5,2,0,,1,1,4,NEW YORK-JFK,2,1.013018,
344,620,1,2,1,12,2,45,6,2,2,8,,,,,5,11,,,,,9,1,1,2,1,1,2,0,6,3,4,4,4,3,3,6,6,4,6,6,4,,,,,,,4,6,4,6,6,4,,,,5,4,,,,,,,,,2,,,,,5,5,4,,,,,2,,,,,2,4,53,3,29.5,1,0,,1,1,4,NEW YORK-JFK,2,1.013018,
345,621,1,2,1,12,2,45,6,1,1,8,,,,,3,11,,,,,9,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,5,5,5,5,5,5,,,,3,,,,,,,,,,1,3,,,,11,5,3,,,,,2,,,,,3,4,29,3,29.5,2,1,25000,1,1,4,NEW YORK-JFK,2,1.013018,
346,622,1,2,1,12,2,45,6,2,2,8,,,,,7,11,,,,,9,1,0,0,1,1,2,4,6,6,5,5,5,6,6,5,4,6,6,6,5,,,,,,,5,6,6,6,6,5,,,,5,,,,,,,,,,2,,,,,17,5,5,,,,,2,,,,,4,3,62,5,49.5,2,4,175000,1,1,4,NEW YORK-JFK,2,1.013018,
347,623,1,2,1,12,2,45,6,2,1,8,,,,,9,11,,,,,9,2,1,2,1,1,2,5,6,3,3,3,3,3,3,3,6,3,6,3,3,90,7,,,,,3,3,3,3,3,3,,,,5,2,,,,,,,,,2,,,,,12,4,3,,6,,,2,,,,,2,4,62,4,39.5,1,4,175000,1,1,4,NEW YORK-JFK,2,1.013018,
348,624,1,2,1,12,2,45,6,2,3,8,,,,,5,11,,,,,9,1,1,1,3,4.5,2,4,4,3,5,4,5,4,4,0,0,0,0,0,5,,,,,,,5,0,5,0,5,5,,,,4,6,,,,,,,,,1,5,4,,,5,5,5,,,,,2,,,,,2,4,55,2,21,1,2,75000,1,1,4,NEW YORK-JFK,2,1.013018,
349,625,1,2,1,12,2,45,6,2,1,8,,,,,2,11,,,,,9,2,0,0,3,4.5,2,4,2,1,2,1,1,1,1,3,6,6,6,6,3,7,70,,,,,4,6,6,6,3,2,,,,4,,,,,,,,,,3,,,,,5,2,3,,,,,2,,,,,2,4,62,3,29.5,1,3,125000,1,1,4,NEW YORK-JFK,2,1.013018,
350,626,1,2,1,12,2,45,6,2,2,8,,,,,5,11,,,,,9,2,1,1,1,1,2,2,2,2,3,3,3,3,3,0,3,4,0,0,3,,,,,,,3,3,3,3,3,3,,,,3,,,,,,,,,,1,4,,,,5,4,2,,,,,2,,,,,2,4,53,3,29.5,1,0,,1,1,4,NEW YORK-JFK,2,1.013018,
351,622,1,2,1,12,2,45,6,2,2,8,,,,,2,11,,,,,9,1,1,2,4,9.5,2,5,4,4,5,6,5,5,5,4,4,6,6,6,5,1,,,,,,5,6,6,6,5,4,,,,3,,,,,,,,,,2,,,,,5,5,5,,,,,2,,,,,1,1,62,4,39.5,2,2,75000,1,1,4,NEW YORK-JFK,2,1.013018,
