phase,stage,service,service_description,persona
B. Engagement,4. Evaluation,Meeting setup Automation (Digital Assistant),Meeting Setup Automation (Digital Assistant): Leave a digital assistant to set up meetings freeing your sales reps time. Decide on the targets to prioritize and keep your KPI’s high.,Sales
B. Engagement,4. Evaluation,Prescriptive Sales,"Prescriptive Sales: Most sales processes exist in the mind of your sales reps. Sales reps interact with customers based on their different habits and observations. Prescriptive sales systems prescribe the content, interaction channel, frequency, price based on data on similar customers.",Sales
B. Engagement,4. Evaluation,Customer Sales Contact Analytics,"Customer Sales Contact Analytics: Analyze all customer contacts, including phone calls or emails, to understand what behaviors and actions drive sales. Advanced analytics on all sales call data to uncover insights to increase sales effectiveness",Sales
B. Engagement,4. Evaluation,Sales call analytics,Sales Call Analytics: Advanced analytics on call data to uncover insights to increase sales effectiveness. See how well your conversation flow performs. Integrating data on calls will help you to identify the performance of each component in your sales funnels.,Sales
B. Engagement,4. Evaluation,Personalized Product Bundling,"AI is well known for helping to recommend products and drive personalization on retail sites and customers have come to expect personalized experiences. According to an Accenture study, more than 80% of insurance customers are looking for more personalized experiences. AI is equally well suited to recommend products and pricing in insurance. With AI models, insurance companies can determine which products and policy options are the best fit for a given consumer. AI can also determine an individualized price based on consumer behavior and historical data. These recommendations can be used in web-based, call center and agent selling scenarios.   Citations:   https://www.h2o.ai/solutions/usecases/personalized-product-bundling/",Sales
B. Engagement,4. Evaluation,Next Best Action,"Selecting the next action to take for each customer is an ideal use case for AI models. AI can be used to find patterns in customer data based on browsing behavior, prior purchases, demographics, household data and more to determine customer interests and intent. One such pattern is the next best action or touchpoint that is likely to produce the desired outcome based on successful outcomes from interactions with other customers combined with the individual’s data. For example, at a certain point in their journey some customers will prefer an email over a phone call. Knowing this and picking the right way to connect is critical to increasing conversions and increasing revenues.   Citations:   https://www.h2o.ai/solutions/usecases/next-best-action/",Sales
B. Engagement,4. Evaluation,Pricing Optimization,AI is ideal for situations where a retailer needs to optimize across a wide assortment of items based on a variety of factors. AI models can be used to determine the best price for each item using data on seasonality and price elasticity along with real-time inputs on inventory levels and competitive products and prices. The result is more careful markdowns on specific colors or versions to a very specific price to increase demand and maximize profits. Marginal price increases are also possible on some items to capture demand from trends. AI can also be used to provide reasons for pricing suggestions that indicate the key factors when making the pricing suggestion. This is helpful to retailers who want to know why particular items are being suggested for markdowns.   Citations:   https://www.h2o.ai/solutions/usecases/pricing-optimization/,Operations
B. Engagement,4. Evaluation,Robo-Advisory,Robo-Advisory: Use AI chatbot and mobile app assistant applications to monitor personal finances. Set your target savings or spending rates for your own goals. Your finance assistant will handle the rest and provide you with insights to reach financial targets.,Customer Success
B. Engagement,5. Purchase,Retail Sales Bot,Retail Sales Bot: Use bots on your retail floor to answer customer’s questions and promote products. Engage with the right customer by analyzing the profile. Computer vision will help you to provide the right action depending on the characteristics and mimics of the customer.,Sales
B. Engagement,5. Purchase,Sales attribution,Sales attribution: Leverage big data to attribute sales to marketing and sales efforts accurately. See which step of your sales funnel performs better. Pinpoint the low performing part by the insights provided by analysis.,Sales
B. Engagement,5. Purchase,Sales Compensation,"Sales Compensation: Determine the right compensation levels for your sales personnel. Decide on the right incentive mechanism for the sales representatives. By using the sales data, provide objective measures, and continuously increase your sales representatives’ performance.",Sales
B. Engagement,5. Purchase,Cashierless Checkout,"Cashierless Checkout: Self-checkout systems have many names. They are called cashierless, cashier-free, or automated checkout systems. They allow retail companies to serve customers in their physical stores without the need for cashiers. Technologies that allowed users to scan and pay for their products have been used for almost a decade now, and those systems did not require great advances in AI. However, these days we are witnessing systems powered by advanced sensors and AI to identify purchased merchandise and charge customers automatically.",Sales
C. Retention,7. Expansion,Product Recommendations,"Every retailer wants to have high quality recommended products everywhere from emails to landing pages, their homepage to categories, product pages and cart to drive increased cross-sell and upsell. AI can be used to find the patterns in customer behavior from clickstream data, prior purchases, demographics and preferences that lead to the best product recommendations for each individual consumer. For example, when a customer visits the homepage of a website, the products can even categories displayed can be based on their known preferences and prior purchases such that the items displayed are highly relevant to them. For emails, product recommendations can be generated as an email is being opened so that the recommended products are relevant based on the customer’s most recent browsing behavior and purchases. With AI, highly relevant and personalized product recommendations, websites, email campaigns, call center agents, and mobile applications can provide personalized experiences for consumers that drive increased conversion rates, basket size and customer loyalty.   Citations:   https://www.h2o.ai/solutions/usecases/product-recommendations/",Sales
C. Retention,7. Expansion,Assortment Optimization,"AI is ideal for optimizing assortment for retailers. AI models can look at a variety of factors including past sales, store display space, local trends, online behavior, predicted weather patterns, and more to determine which products would be the best fit for a given store location. This AI based optimization prevents stockouts by sending more inventory to stores where products are most needed and minimizes markdowns by making sure that products are on display where they can be sold at full price. AI models can even reroute inventory between stores to ensure that retailers can take advantage of local trends.   Citations:   https://www.h2o.ai/solutions/usecases/assortment-optimization/",Operations
C. Retention,7. Expansion,Social listening & ticketing,"Social Listening & Ticketing: Leverage Natural Language Processing and machine vision to identify customers to contact and respond to them automatically or assign them to relevant agents, increasing customer satisfaction. Use the data available in social networks to uncover whom to sell and what to sell.",Customer Success
C. Retention,7. Expansion,Intelligent Call Routing,"Intelligent Call Routing: Route calls to most capable agents available. Intelligent routing systems incorporate data from all customer interactions optimizing customer satisfaction. Based on the customer profile and your agent’s performance, make it possible to provide the right service with the right agent. Reach superior net promoter scores. Feel free to read our article about intelligent call routing if you want to learn more.",Customer Success
C. Retention,7. Expansion,Call Classification,"Call Classification: Leverage Natural Language Processing to understand what customer is trying to achieve enabling your agents to focus on higher value-added activities. Before channeling the call, detect the nature of your customers’ needs and let the right department handle the problem. Enhance efficiency with higher satisfaction rates.",Customer Success
C. Retention,7. Expansion,Voice Authentication,"Voice Authentication: Authenticate customers without passwords leveraging biometry to improve customer satisfaction and reduce issues related to forgotten passwords. Their unique voice id will be their most secure key for accessing confidential information. Instead of the last four digits of SSN, customers will gain access by using their voice.",Customer Success
C. Retention,7. Expansion,Call Intent Discovery,"Call Intent Discovery: Leverage Natural Language Processing and machine learning to estimate and manage customer’s intent (e.g., churn) to improve customer satisfaction and business metrics. Sentiment analysis through the customer’s voice level and pitch. Detect the micro-emotions that drive the decision-making process.",Customer Success
C. Retention,7. Expansion,Customer Service Response Suggestions,"Customer Service Response Suggestions: Bots will listen in on agents’ calls suggesting best practice answers to improve customer satisfaction and standardize customer experience. Increase upsells and cross-sells by giving the right suggestion. Responses will be standardized, and the best possible approach will serve the benefit of the customer.",Customer Success
C. Retention,7. Expansion,Customer Service Chatbot (Self-service solution),"Customer Service Chatbot (Self – Service Solution): Build your own 24/7 functioning, intelligent, self-improving chatbots to handle most queries and transfer customers to live agents when needed. Reduce customer service costs and increase customer satisfaction. Reduce the traffic on your existing customer representatives and make them focus on the more specific needs of your customers.",Customer Success
C. Retention,8. Renewal,Billing,Billing: Leverage accessible billing services that remind your customers to pay. Increase your loan recovery ratios. Use automated invoice systems for your business.,Sales
C. Retention,8. Renewal,Debt Collection,Debt Collection: Leverage AI to ensure a compliant and efficient debt collection process. Effectively handle any dispute and see your success right in debt collection.,Sales
C. Retention,8. Renewal,Invoicing,"Invoicing: Invoicing is a highly repetitive process that many companies perform manually. This causes human errors in invoicing and high costs in terms of time, especially when a high volume of documents needs to be processed. Thus, companies can handle these repetitive tasks with AI, automate invoicing procedures, and save significant time while reducing invoicing errors. The company avoids re-invoicing costs with AI tools, as well. For example, Hypatos also indicates that automated invoice capture can lead up to 90% cost saving in your invoice-related processes.",Sales
C. Retention,8. Renewal,Customer Churn Prediction,"AI is a great solution for customer churn prediction as the problem involves complex data over time and interactions between different customer behaviors that can be difficult for people to identify. AI can look at a variety of data, including new data sources, and at relatively complex interactions between behaviors and compared to individual history to determine risk. AI can also be used to recommend the best offer that will most likely retain a valuable customer. In addition, AI can identify the reasons why a customer is at risk and allow financial institution to act against those areas for the individual customer and more globally.   Citations:   https://www.h2o.ai/solutions/usecases/customer-churn-prediction/",Sales
C. Retention,8. Renewal,Call Analytics,"Call Analytics: Advanced analytics on call data to uncover insights to improve customer satisfaction and increase efficiency. Find patterns and optimize your results. Analyze customer reviews through voice data and pinpoint, where there is room for improvement. Sestek indicates that ING Bank observed a 15% increase in sales quality score and a 3% decrease in overall silence rates after they integrated AI into their call systems.",Customer Success
C. Retention,8. Renewal,Survey & Review Analytics,Survey & Review Analytics: Leverage Natural Language Processing to analyze text fields in surveys and reviews to uncover insights to improve customer satisfaction and increase efficiency. Automate the process by mapping the right keywords with the right scores. Make it possible to lower the time for generating reports.,Customer Success
C. Retention,8. Renewal,Customer Contact Analytics,Customer Contact Analytics: Advanced analytics on all customer contact data to uncover insights to improve customer satisfaction and increase efficiency. Utilize Natural Language Processing for higher customer satisfaction rates.,Customer Success
C. Retention,8. Renewal,Predictive Customer Support,"AI can be used to find patterns in support data to find solutions to customer issues. AI models can utilize a variety of data from prior support inquiries and resolutions, network data, weather data and more. AI models can then determine the most likely issues that the customer is facing with the minimal amount of questioning. This more efficient process is better for customers because their issues are resolved more quickly. The process is better for support agents as they work with fewer unhappy customers and they get to help the customer actually solve their issue. Finally, this process has a huge impact on the bottom line for service providers by reducing the number of unnecessary service technician calls which makes these technical resources available for actual network or hardware repairs.   Citations:   https://www.h2o.ai/solutions/usecases/predictive-customer-support/",Customer Success
C. Retention,9. Referral,Marketing Analytics,"Marketing analytics: AI systems learn from, analyze, and measure marketing efforts. These solutions track media activity and provide insights into PR efforts to highlight what is driving engagement, traffic, and revenue. As a result, companies can provide better and more accurate marketing services to their customers.",Marketing
